year,field,total_checked,had_data,pct_available
2021,boxscore,2475,2475,100.0
2021,draft,1,1,100.0
2021,linescore,2475,2475,100.0
2021,playbyplay,2475,2475,100.0
2021,roster,30,30,100.0
2021,standings_splits,1,1,100.0
2021,transactions,1,1,100.0
2021,winprobability,2475,2475,100.0
